T/F,CP,CN,choice_depth,num_sat_clauses,lit,good_decision,majority_was_picked,CPxCN,sumCPCN,deltaC,maxCPCN
-1,0,4,3,10212,121,True,True,0,4,-630,4
1,4,3,2,10089,147,False,True,12,7,-630,4
-1,0,4,1,10110,136,True,True,0,4,-630,4
-1,0,4,7,10011,144,True,True,0,4,-630,4
-1,0,3,8,9717,221,True,True,0,3,-630,3
-1,0,4,10,9958,231,True,True,0,4,-630,4
-1,0,4,11,9809,231,True,True,0,4,-630,4
1,4,3,12,9871,243,True,True,12,7,-630,4
-1,0,3,15,9771,221,True,True,0,3,-630,3
-1,0,4,16,9848,231,True,True,0,4,-630,4
-1,0,4,17,9883,231,True,True,0,4,-630,4
-1,0,4,1,9498,115,True,True,0,4,-630,4
-1,0,2,2,9483,117,True,True,0,2,-630,2
1,4,3,4,10255,241,True,True,12,7,-630,4
1,4,3,7,10359,461,False,True,12,7,-630,4
-1,0,8,1,9555,114,True,True,0,8,-630,8
1,4,3,2,9704,142,True,True,12,7,-630,4
1,4,3,3,10218,243,True,True,12,7,-630,4
-1,0,6,1,9104,132,True,True,0,6,-630,6
1,4,3,3,9887,222,False,True,12,7,-630,4
-1,0,5,9,9795,147,True,True,0,5,-630,5
1,4,3,2,10356,144,False,True,12,7,-630,4
1,4,3,3,10367,132,True,True,12,7,-630,4
1,4,3,8,10084,276,False,True,12,7,-630,4
1,4,3,9,9997,253,True,True,12,7,-630,4
-1,0,5,1,9301,113,True,True,0,5,-630,5
-1,0,5,7,9673,223,True,True,0,5,-630,5
1,4,3,5,10104,237,True,True,12,7,-630,4
1,4,3,7,10034,233,True,True,12,7,-630,4
1,4,3,9,9691,126,True,True,12,7,-630,4
1,4,3,6,10101,141,True,True,12,7,-630,4
-1,0,3,1,9709,113,True,True,0,3,-630,3
-1,0,4,1,9435,111,True,True,0,4,-630,4
1,4,3,3,9997,135,True,True,12,7,-630,4
-1,0,6,2,9926,124,True,True,0,6,-630,6
-1,0,6,5,9987,134,True,True,0,6,-630,6
1,4,3,3,9422,126,True,True,12,7,-630,4
1,4,3,2,10202,121,True,True,12,7,-630,4
1,4,3,4,10225,142,False,True,12,7,-630,4
1,4,3,5,10383,341,False,True,12,7,-630,4
-1,0,4,1,9915,113,True,True,0,4,-630,4
1,4,3,2,9867,115,True,True,12,7,-630,4
1,4,3,2,10051,127,True,True,12,7,-630,4
1,4,3,4,10213,132,False,True,12,7,-630,4
-1,0,3,3,9836,132,True,True,0,3,-630,3
1,4,3,1,10119,142,True,True,12,7,-630,4
1,4,3,1,10003,211,True,True,12,7,-630,4
1,4,3,4,10371,126,True,True,12,7,-630,4
1,4,3,9,10150,245,True,True,12,7,-630,4
1,4,3,2,9678,218,False,True,12,7,-630,4
-1,0,5,2,9619,116,True,True,0,5,-630,5
1,4,3,1,10400,124,False,True,12,7,-630,4
1,4,3,2,10470,145,False,True,12,7,-630,4
-1,0,7,1,9546,111,True,True,0,7,-630,7
-1,0,7,2,9546,114,True,True,0,7,-630,7
-1,0,3,4,10040,146,True,True,0,3,-630,3
1,4,3,14,10427,216,False,True,12,7,-630,4
-1,0,3,6,10128,421,True,True,0,3,-630,3
-1,0,3,7,10111,422,True,True,0,3,-630,3
-1,0,5,1,9635,111,True,True,0,5,-630,5
1,4,3,7,10133,131,False,True,12,7,-630,4
1,4,3,4,9771,135,False,True,12,7,-630,4
1,4,3,3,10118,211,True,True,12,7,-630,4
1,4,3,2,10298,215,False,True,12,7,-630,4
-1,0,7,1,9740,111,True,True,0,7,-630,7
-1,0,2,1,9463,131,True,True,0,2,-630,2
-1,0,2,3,9711,151,True,True,0,2,-630,2
1,4,3,6,10138,217,True,True,12,7,-630,4
-1,0,2,7,9670,151,True,True,0,2,-630,2
1,4,3,4,9212,118,True,True,12,7,-630,4
1,4,3,3,9745,113,True,True,12,7,-630,4
1,4,3,1,9825,128,False,True,12,7,-630,4
1,4,3,1,10205,111,False,True,12,7,-630,4
1,4,3,2,10306,241,False,True,12,7,-630,4
1,4,3,1,9702,113,False,True,12,7,-630,4
-1,0,5,4,9399,117,True,True,0,5,-630,5
1,4,3,9,10076,226,False,True,12,7,-630,4
1,4,3,10,10256,243,True,True,12,7,-630,4
1,4,3,11,10349,444,True,True,12,7,-630,4
1,4,3,2,10096,118,True,True,12,7,-630,4
1,4,3,5,10287,174,False,True,12,7,-630,4
1,4,3,6,10234,176,False,True,12,7,-630,4
1,4,3,3,10055,116,True,True,12,7,-630,4
-1,0,6,4,10130,124,True,True,0,6,-630,6
1,4,3,2,10084,154,True,True,12,7,-630,4
-1,0,1,2,10424,415,True,True,0,1,-630,1
1,4,3,2,9777,127,True,True,12,7,-630,4
1,4,3,2,9905,125,True,True,12,7,-630,4
-1,0,4,1,9371,145,True,True,0,4,-630,4
1,4,3,2,10174,344,False,True,12,7,-630,4
1,4,3,3,10145,156,False,True,12,7,-630,4
1,4,3,4,10187,274,False,True,12,7,-630,4
-1,0,5,8,9585,116,True,True,0,5,-630,5
-1,0,5,1,9409,111,True,True,0,5,-630,5
-1,0,7,2,9404,115,True,True,0,7,-630,7
1,4,3,1,10312,241,False,True,12,7,-630,4
1,4,3,3,10386,138,True,True,12,7,-630,4
1,4,3,3,10282,174,False,True,12,7,-630,4
1,4,3,3,10125,174,False,True,12,7,-630,4
1,4,3,2,10214,134,True,True,12,7,-630,4
-1,0,5,2,9966,142,True,True,0,5,-630,5
1,4,3,3,9947,143,False,True,12,7,-630,4
-1,0,1,9,9832,142,True,True,0,1,-630,1
1,4,3,9,9696,143,False,True,12,7,-630,4
-1,0,4,3,9613,141,True,True,0,4,-630,4
-1,0,3,4,9605,142,True,True,0,3,-630,3
1,4,3,5,10196,183,False,True,12,7,-630,4
